CaltechAUTHORS_ID,Related_DOIs
tr0p8-5we23,10.22002/D1.1915; 10.22002/D1.1900; 10.22002/D1.1905; 10.22002/D1.1914; 10.22002/D1.1919; 10.22002/D1.1917; 10.22002/D1.1916; 10.22002/D1.1918
jemmb-kp969,10.22002/D1.1921
ck6pf-68621,10.22002/D1.1955
fx63v-hsd80,10.22002/D1.2023
ke1kq-rk838,10.22002/D1.20291
2k2dy-yd945,10.22002/stjfa-f1372
4jqdv-nrv37,10.22002/D1.1693
3pp78-4rf19,10.22002/D1.20050
phbx7-m8a69,10.22002/D1.20061
rb73g-vqz89,10.22002/D1.20057
qw52z-k2169,10.22002/D1.1891
xhdcq-sct46,10.22002/D1.20216
wkgd2-qsj12,10.22002/ae55y-m7q16
rf941-tk874,10.22002/256s2-gde40
t0wh3-pp833,10.22002/6te59-vad07
ht1bq-eem22,10.22002/sk6em-th949
yzjs7-1cv55,10.22002/D1.2096; 10.22002/D1.2099; 10.22002/D1.2103
q0yqt-d4b86,10.22002/yzpvn-3m661
fgyyk-pb390,10.22002/aevwq-2ps50
rsg2f-2nj92,10.22002/D1.2090
qgw1r-cg440,10.22002/D1.1645
0wd1r-y8426,10.22002/w3n8w-wgx37
9xpd4-15a70,10.22002/esx93-qx576
yw2sd-bmj62,10.22002/w6zyq-wqw17
0mmmp-9pz59,10.22002/D1.20248
rwr63-xyt69,10.22002/D1.2135
w2ev0-snj25,10.22002/D1.8962
nde62-t1r58,10.22002/D1.1970
h0e90-htt06,10.22002/D1.1296
5wh3x-cj477,10.22002/8zr8w-t0f77
750xa-xag63,10.22002/D1.1286
r1pva-c8x21,10.22002/D1.20035
yz6kc-3m611,10.22002/wecmz-csm13
gpz25-v2995,10.22002/6ejqf-qm267
6gcmj-reb48,10.22002/D1.2155
0mjqz-64458,10.22002/fmz6a-0x036
j80sb-te308,10.22002/c5cyj-mev09
1q6gn-mvc46,10.22002/D1.20052
0hqa5-02a70,10.22002/4y293-6eg49
wr8qq-s8t58,10.22002/D1.222
903mp-9de45,10.22002/D1.20101
r5hzq-dzy83,10.22002/D1.20044
j97j9-q8b37,10.22002/42gwd-8wg77
dpa4r-7rs97,10.22002/rcrh7-7ps89
sar53-81n52,10.22002/D1.1619; 10.22002/D1.1620
mypge-8d791,10.22002/7h65h-89163
0f32n-bgm37,10.22002/D1.1347; 10.22002/D1.2033
90vmt-dcf44,10.22002/D1.1349
vatm0-d4991,10.22002/D1.1609
fx2at-3ps68,10.22002/D1.1226
sfg7x-dk730,10.22002/D1.2208
pjjee-1w296,10.22002/D1.1429
zf2v5-vx810,10.22002/D1.1087; 10.22002/D1.1085; 10.22002/D1.1086
79r10-1a091,10.22002/D1.2078; 10.22002/D1.9200
61tfs-e6529,10.22002/7yh5j-c4865
xf5g4-v9t32,10.22002/D1.8771
4a7y9-nzb92,10.22002/D1.1692; 10.22002/D1.20047
ykf3d-je826,10.22002/D1.2129
v84d4-vcs34,10.22002/D1.1647
9r8xv-t1r55,10.22002/D1.1879
6f3gb-97h58,10.22002/D1.1976
rdqe2-hsq97,10.22002/D1.1670
6k82a-tnj57,10.22002/D1.1877
vpnng-szs82,10.22002/D1.20048
jhbhh-5fy63,10.22002/g862k-ahh79
dv27e-2sy47,10.22002/D1.1667
42be6-h8z47,10.22002/D1.1960
363j8-nw138,10.22002/D1.1876
08dr4-w6943,10.22002/D1.1971
c03z0-nfg11,10.22002/D1.1407
4fdtn-y2e21,10.22002/D1.1628
wfg20-4tn76,10.22002/D1.1388
dzgj9-y8y49,10.22002/d1.1182
jp0wd-a0584,10.22002/D1.971; 10.22002/D1.1671; 10.22002/D1.1672; 10.22002/D1.247
p1ppj-m0g85,10.22002/D1.2079
rxd0x-ag678,10.22002/D1.1617
gj3yk-ng036,10.22002/D1.2022
ks7h3-tf644,10.22002/D1.1858
vfg98-9zt14,10.22002/D1.971
b0xvf-xn162,10.22002/D1.1874; 10.22002/D1.1873
deqcj-g7748,10.22002/D1.943
ge4t4-7e026,10.22002/D1.1318; 10.22002/D1.1211
n2b9p-8jf71,10.22002/D1.1612
ze84b-v1782,10.22002/D1.1702
hzgfd-wmf56,10.22002/jjng3-qv546
d4h00-xf206,10.22002/D1.20252
pygk3-8nv03,10.22002/36sg9-yhj98
xyw3y-m8j25,10.22002/awg6a-x3t07
x179p-jhv14,10.22002/D1.2157
n3db2-81351,10.22002/tdng7-twd27
sjez0-mxg64,10.22002/a58b4-m6e21
rvn2j-vbs79,10.22002/hhg7x-hgm42
g5k3h-ph860,10.22002/dw66e-mbs82
ddt7k-74524,10.22002/n47vy-s0s65
7bdcq-aqm45,10.22002/5za3h-ckp07
5e0mm-dzd05,10.22002/fbq4s-vt646
d20js-7z640,10.22002/vn6v0-pfr77
rsekp-4g847,10.22002/D1.1347
7sejw-9cp39,10.22002/camz1-c7675
cmvm1-e9379,10.22002/D1.1347
bdmhx-dvt46,10.22002/krdbt-e4j31
vgb5s-pqs25,10.22002/17h15-gr910
wkjh4-6nf06,10.22002/D1.20049
p6mn1-gs660,10.22002/D1.20199
vtef0-x7037,10.22002/D1.20223
y47b9-pmn34,10.22002/D1.1241
8mp48-93523,10.22002/D1.1315
zpnpe-wnj98,10.22002/2cjss-wgh69
a7vwv-mhw66,10.22002/D1.20215
ernz6-2xp43,10.22002/D1.20060
q40ve-64h03,10.22002/D1.20052
4w29e-xpa51,10.22002/D1.1891
e9yy0-v0658,10.22002/D1.20038
x0cjg-kxg25,10.22002/D1.20223
jh5g2-fyg97,10.22002/D1.20252
fgbgn-2rk49,10.22002/D1.20248
act7x-zp783,10.22002/csh5w-rf132
5qtmg-ffs36,10.22002/aeffy-dcr62; 10.22002/h88fq-dk449; 10.22002/m4mpa-4mt17
r7rsd-a7a17,10.22002/D1.2026; 10.22002/D1.2025
91hvf-49c47,10.22002/D1.1438
yvded-18923,10.22002/D1.1407
166f3-tj121,10.22002/D1.1100
nb3f9-s8p96,10.22002/D1.1617
5xkg8-an610,10.22002/d1.1276
24wrg-rx971,10.22002/D1.1915; 10.22002/D1.1900; 10.22002/D1.1905; 10.22002/D1.1914; 10.22002/D1.1917; 10.22002/D1.1916; 10.22002/D1.1918
y99cf-fkr11,10.22002/D1.20170
h4t67-8mh41,10.14291/tccon.archive/1348407
6ea3z-eb661,10.14291/TCCON.GGG2014
y5gpx-saw63,10.14291/TCCON.GGG2014
knwz1-dvb78,10.14291/tccon.ggg2014.pasadena01.r1/1182415
hnrah-2zp73,10.14291/tccon.ggg2014.pasadena01.r1/1182415
dm3mv-q1b76,10.25989/es8t-kswe; 10.22002/D1.1256
